상호명,주소,위도,경도,
호산할인마트,인천광역시 미추홀구 인하로411번길 25 (관교동) 1층,37.4475941,126.6938985,
조광할인마트,"미추홀구 인하로396번길 19, 1층(관교동)",37.4467524,126.6918178,
불티나슈퍼,미추홀구 관교동473-13,37.445863,126.6918487,
대경마트,"주승로183, 1층(관교동)",37.4455375,126.6908963,
씨유 관교동아,"인하로430번길9 상가-101(관교동, 동아아파트)",37.4450433,126.6946155,
이마트24(관교승학점),미추홀구 관교동,37.444183,126.696813,
한아름 마트,미추홀구 관교동 13-6 (인하로446),37.4438066,126.6956953,
한우촌웰빙할인마트,"미추홀구 주승로 232, 1층(관교동)",37.442551,126.6945463,
굿모닝 할인마트,"미추홀구 경원대로640번길 30, 1층 (관교동)",37.4411296,126.6954341,
고려 편의점,"인천광역시 미추홀구 경인로 173 (도화동) 제1,2층 제",37.4663049,126.6619925,
하나로공판장,인천광역시 미추홀구 경인로172번길 1(도화동),37.4658662,126.66174,
이마트24도화랜드마크점,"인천광역시 미추홀구 경인로 195 (도화동, 뉴 더웰) 1",37.4656169,126.6646048,
지에스25도화동아점,"인천광역시 미추홀구 경인로 203(도화동) 상가동, 지",37.4653235,126.6654818,
그린마트,미추홀구 숙골로8번길 40-4(도화1동 561-8),37.4651119,126.6707237,
씨유 도화세림점,"미추홀구 경인로 255, 101동 101호 (도화동)",37.4632396,126.670689,
이마트24 도화행복점,인천광역시 미추홀구 경인로252번길 12 (도화동) 1층,37.4628071,126.6694473,
정성마트,미추홀구 수봉로181번길 46(도화동),37.4608735,126.6703869,
이마트24 도화팰리스점,"인천광역시 미추홀구 경인로 301(도화동, 주영팰리스)",37.460473,126.6744221,
홈마트,미추홀구 도화1동 496-10,37.4600035,126.669803,
이마트24 주안한빛점,인천광역시 미추홀구 수봉로171번길 3(도화동) 1층,37.4593086,126.668195,
도화할인마트(주),"미추홀구 제일로 39, 1층(도화동)",37.4590854,126.674634,
씨유 수봉공원점,미추홀구 경인로 344-1(도화동),37.4583609,126.6782666,
거북미니슈퍼,미추홀구 미추홀대로669번길 94(도화1동 448-13),37.4574591,126.6746184,
GS25도화서희스타점,"미추홀구 숙골로112번길 12, 제지1층 2-1, 2-2호",37.4717054,126.6635392,
OK할인마트,미추홀구 장고개로42번길 9,37.4714208,126.6681233,
지에스25 더샵하늘점,"인천광역시 미추홀구 숙골로88번길 12 (도화동, 더샵",37.4700598,126.6651582,
대영상회,미추홀구 도화2동109-1,37.4696272,126.6675772,
지에스25 남구도화점,인천광역시 미추홀구 석정로337번길 33(도화동) 1층,37.469164,126.6729233,
참마트,미추홀구 도화2동94-4,37.4679975,126.6616395,
만물사,"미추홀구 석정로150번길 33, 1층(도화동)",37.4677113,126.6538811,
지마트,"미추홀구 석정로328, 1층(도화2동127-1)",37.4675344,126.6719148,
새마을슈퍼,미추홀구 도화2동146 1층,37.4674346,126.6679776,
씨유 도화플러스점,인천광역시 미추홀구 석정로302번길 12 (도화동) 1층,37.4673597,126.6688214,
대성상회,미추홀구 미추홀구 동산로 12(도화2동 677-72),37.469793,126.650521,
한일유통,미추홀구 연송로 30(도화동),37.4782437,126.6549074,
도화할인마트,미추홀구 연송로 46 (도화동),37.477745,126.6557053,
한길디씨마트,미추홀구 도화3동 16-16,37.4774084,126.6562196,
지에스25 도화지젤점,인천광역시 미추홀구 염전로168번길 28 (도화동) B동,37.4768881,126.6596228,
씨유도화파밀리에점,"도화3동982 신동아파밀리에상가B201,B202(송림로178)",37.4764673,126.6538158,
세븐일레븐인천도화금,"염전로202번길 48-4, 102호(도화동,인천도화금강점)",37.4758706,126.6613722,
씨유 도화보영,"미추홀구 숙골로88번길 46, 101,102호(도화동,e편한세",37.4739379,126.6659598,
문경마트,"인천광역시 미추홀구 승학길 28, 101호 (문학동)",37.4406972,126.679664,
세븐일레븐 문학한솔,인천광역시 미추홀구 매소홀로535번길 42 (문학동),37.4404063,126.6800435,
진마트,미추홀구 문학동348-1,37.4389166,126.6845404,
그린마트,미추홀구 소성로 315(문학동),37.437799,126.6823617,
우리할인마트,미추홀구 소성로 289(문학동),37.4377369,126.6792799,
롯데쇼핑(주)인천문학,"미추홀구 소성로 335(문학동, 1층)",37.4376942,126.6845344,
로얄할인마트,인천광역시 미추홀구 소성로294번길 17-32(문학동) 10,37.4364066,126.6804206,
씨유 문학정보점,인천광역시 미추홀구 문학길 147 (문학동) 1층,37.434679,126.6859118,
씨유 도원서희점,"인천광역시 미추홀구 참외전로 268(숭의동, 스타디움",37.4666447,126.6442665,
광해슈퍼,"미추홀구 미추로 61, 101호(숭의동,광해리드빌상가)",37.4651981,126.6453039,
알짜마트,인천광역시 미추홀구 경인로 51(숭의동) 1층,37.4647167,126.6486566,
이마트24 숭의미추로점,인천광역시 미추홀구 미추로 48 (숭의동) 1층,37.4642908,126.6463692,
인광슈퍼,미추홀구 숭의1동403-21(인중로26번길22-2),37.4638225,126.6400291,
지에스25 숭의공구상가점,인천광역시 미추홀구 인중로16번길 16 (숭의동) 지에,37.4633543,126.6414981,
하나로공판장마트,"미추홀구 인주대로11번길 32, 1층 (숭의동)",37.4618079,126.6405122,
지에스25 숭의로터점,"미추홀구 석정로 13, 1층 101호(숭의동)",37.4613037,126.6417637,
지에스25 숭의2동점,인천광역시 미추홀구 경인로42번길 14 (숭의동) 1층,37.4633836,126.6479698,
경화슈퍼,미추홀구 숭의2동165-50,37.4630071,126.6464877,
선학슈퍼,"미추홀구 미추로19번길 29, 101호(숭의동)",37.4619711,126.6457694,
GS25 숭의타운,"미추홀구 미추로19번길 8, 101호(숭의동)",37.4617868,126.646928,
경미슈퍼,미추홀구 독배로 474-1 (숭의동),37.4609316,126.6464784,
세븐일레븐,인천광역시 미추홀구 인주대로45번길 40 (숭의동) 1층,37.4608586,126.6442379,
GS25숭의오거리점,"경인로42번길 83,101호(숭의동)",37.4606783,126.6498508,
씨유숭의그린점,"석정로10번길 12, 1층 101호(숭의동(신정아파트)",37.4604265,126.6426688,
세븐일레븐 숭의동성당점,인천광역시 미추홀구 석정로10번길 25(숭의동) 1층 지,37.4603968,126.6436048,
진로유통,미추홀구 숭의3동 105-99,37.4692,126.649559,
충남상회,미추홀구 숭의3동81-4,37.4676824,126.6466295,
이마트24 제물포남부역점,"미추홀구 경인로 113, 1층 2호 (숭의동)",37.4664691,126.655214,
싱싱마트,인천광역시 미추홀구 수봉로 16 (숭의동) 1층,37.4647114,126.6561008,
경북슈퍼,미추홀구 장천로93번길 54(숭의동),37.4643923,126.6528742,
성공할인마트,미추홀구 수봉로 41(숭의동),37.4626781,126.6572867,
은혜미니슈퍼,미추홀구 숭의4동248-53,37.4606456,126.655006,
씨유숭의스카이시티점,"인천광역시 미추홀구 장천로112번길 52 (숭의동, 스카",37.4606246,126.6560997,
이마트24 숭의제일점,인천광역시 미추홀구 독정안길97번길 17 (숭의동) 1층,37.4599426,126.6537525,
공원식품,미추홀구 수봉로 81 (숭의4동 13-17),37.4596585,126.6595894,
용현시민유통,미추홀구 용현1동 454-41,37.4578933,126.655253,
지에스25 용현해피점,인천광역시 미추홀구 수봉남로12번길 68 (용현동) 층,37.4557847,126.6596445,
지에스25 용현경인점,인천광역시 미추홀구 수봉남로6번길 132(용현동),37.4556052,126.6631267,
지에스25 뉴용현1동점,인천광역시 미추홀구 인주대로 180 (용현동),37.4553673,126.65695,
연일슈퍼,미추홀구 경인북길251번길 10(용현1동119-21),37.4553028,126.6617888,
J할인마트,인천광역시 미추홀구 인하로47번길 135 (용현동),37.4536389,126.6612654,
세븐일레븐 용현굴다리,인천광역시 미추홀구 경인남길 106(용현동),37.4535921,126.6588769,
미추홀마트,"한나루로501번길 26, 101호~105호(용현동)",37.4522339,126.6658947,
우진슈퍼,미추홀구 한나루로489번길 9(용현동),37.4505923,126.6665072,
씨유숭의스마트하우스점,인천광역시 미추홀구 인주대로4번길 10(용현동) 1층 1,37.4602543,126.639149,
씨유 용현동아점,인천광역시 미추홀구 능해길 49-7 (용현동) 1층,37.4588294,126.6403899,
지에스25 인천용마점,"낙섬중로 129, 상가4동 113호(용현동,LH미추홀3단지)",37.4587874,126.6423167,
GS25용현엑슬루점,"미추홀구 용현동 574-1 엑슬루타워 상가동 104,105호",37.4571784,126.6384222,
소비자공판장,미추홀구 용현2동568-83,37.456557,126.6410975,
씨유 자이독배로점,인천광역시 미추홀구 독배로 395 (용현동) 1층,37.4551454,126.6489383,
지에스더프레시 용현자이점,인천광역시 미추홀구 독배로 383 (용현동) 1층,37.4543217,126.648254,
은미슈퍼,미추홀구 용현3동 491-1,37.4575302,126.6542867,
세븐일레븐 용현블루온점,"미추홀구 인주대로 149, 102호(용현동)",37.4566525,126.6537884,
지에스25용현사거리점,"미추홀구 인주대로 129, 1층(용현동)",37.4566136,126.6515259,
씨유 용현효성해링턴점,인천광역시 미추홀구 인주대로 148(용현동) 제지1층,37.455966,126.6534051,
빌라마트,미추홀구 용현3동  141-62,37.455221,126.655904,
소비자공판장,미추홀구 용현3동141-76,37.4546426,126.6573905,
지에스25 인천스카이점,인천광역시 미추홀구 독배로382번길 19 (용현동) 1층,37.4536511,126.6497989,
지에스25 인하문화,인천광역시 미추홀구 인하로67번길 9(용현동),37.4519475,126.6560237,
gs25 인하해성,미추홀구 용현4동187-12 (경인남길30번길 80) 1,37.4512155,126.6588097,
롯데쇼핑(주)인하대점,미추홀구 인하로 107(용현동),37.4504719,126.6601502,
희망사,인천광역시 미추홀구 인하로 128-3 (용현동),37.449502,126.6623165,
오렌지할인마트,미추홀구 낙섬중로 75-1(용현동),37.4545918,126.639521,
지에스25 용현에이스점,인천광역시 미추홀구 토금남로 5 (용현동),37.4530439,126.6334477,
마이마트,미추홀구 용현5동,37.452575,126.64018,
장터마트,"미추홀구 낙섬중로38번길 8, 1층(용현동)",37.4513022,126.637904,
주식회사토지시장마트,"미추홀구 토금남로 53, 상가동 비01호(용현동,한양@)",37.4508232,126.6381063,
이마트24 용현낙섬,미추홀구 낙섬서로18번길 27-4(용현동),37.4505491,126.6358181,
