상호명,주소,위도,경도
경북슈퍼(b/s),인천광역시 연수구 능허대로 195,37.418366,126.650262
세븐일레븐송도2호점,인천광역시 연수구 능허대로 209-1,37.417113,126.650608
장군슈퍼,인천광역시 연수구 청량로 104,37.417326,126.655907
월드마트,"인천광역시 연수구 독배로40번길 18, 상가동 B01~03호",37.423519,126.645617
씨유 송도플러스점,"인천광역시 연수구 한나루로 190, 101호,102호",37.426207,126.656885
세븐일레븐인천송도역,"인천광역시 연수구 비류대로 184, 104호(옥련동)",37.427835,126.655015
백산슈퍼,인천광역시 연수구 한나루로 79번길 11,37.42263,126.646256
벽산관리실,인천광역시 연수구 한나루로 158번길 31,37.422493,126.656461
남인천농업협동조합,인천광역시 연수구 한나루로 188,37.425738,126.656936
우성슈퍼,인천광역시 연수구 독배로 40번길 48,37.423697,126.647302
GS25시 옥련백산점,인천광역시 연수구 독배로 25,37.422986,126.644632
푸른두레생협 옥련점,"인천광역시 연수구 능허대로123번길 44, 1층 2호(옥련동)",37.423797,126.644042
대풍생활용품DC백화점,"인천광역시 연수구 한나루로158번길 5, 1층(옥련동)",37.423509,126.655178
온누리마트,인천광역시 연수구 청량로 194번길 22  현대아파트 507/608 50/6,37.426875,126.648967
세븐일레븐 옥련점,인천광역시 연수구 독배로 35,37.423871,126.644426
케이세븐,인천광역시 연수구 대암로 22번길 3,37.417907,126.65213
GS25 송도유원지,인천광역시 연수구 능허대로 203,37.417655,126.650858
씨유 송도유원지,인천광역시 연수구 능허대로 193,37.418383,126.650044
미니스톱인천옥련점,인천광역시 연수구 한나루로 197번길 30,37.427547,126.655495
D.C. 홈마트,인천광역시 연수구 한나루로 196번길 2,37.426554,126.65716
GS25 송도중앙점,인천광역시 연수구 인권로 11,37.418737,126.651547
송도슈퍼,인천광역시 연수구 능허대로 192,37.416787,126.647824
동네슈퍼,인천광역시 연수구 능허대로179번길 17,37.419756,126.6501
미니스톱 옥련사랑점,"인천광역시 연수구 한나루로 166, 1층(옥련동)",37.424188,126.655665
(주)다온할인마트,인천광역시 연수구 청량로185번길 37(에스엠프라자),37.422948,126.650682
둥지슈퍼,인천광역시 연수구 비류대로 144번길 12,37.42879,126.650664
럭키마트,인천광역시 연수구 능허대로 79번길 30 럭키송도@ 107/201,37.424497,126.642814
코사마트,인천광역시 연수구 능허대로 79번길 30,37.424497,126.642814
글로리아할인마트,인천광역시 연수구 독배로 82번길 33-1,37.427698,126.647242
현대하이퍼마켓,인천광역시 연수구 독배로 58,37.425823,126.646472
